sentiment;review
1;the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .
0;all this turns out to be neither funny nor provocative - only dull .
1;this is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak .
1;from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score , haynes gets just about everything right .
0;lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel .
0;a didactic and dull documentary glorifying software anarchy .
1;harsh , effective documentary on life in the israeli-occupied palestinian territories .
1;you have to pay attention to follow all the stories , but they 're each interesting .
1;the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .
0;while the mystery surrounding the nature of the boat 's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .
0;... a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway .
0;if you think that jennifer lopez has shown poor judgment in planning to marry ben affleck , wait till you see maid in manhattan .
1;an intriguing and entertaining introduction to johnson .
0;a long-winded , predictable scenario .
0;the only thing that could possibly make them less interesting than they already are is for them to get full montied into a scrappy , jovial team .
1;majidi gets uniformly engaging performances from his largely amateur cast .
0;the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive .
1;he 's super spy !
0;it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .
0;somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .
1;the principals in this cast are all fine , but bishop and stevenson are standouts .
1;kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed .
1;it 's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds .
1;call me a wimp , but i cried , not once , but three times in this animated sweet film .
0;the movie has very little to offer besides unintentional laughs .
1;a picture that extols the virtues of comradeship and community in a spunky , spirited fashion .
1;its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .
1;while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .
0;quick : who wants to see a comedy about shoddy airport security ?
1;a pleasurably jacked-up piece of action moviemaking .
1;it helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .
1;painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .
1;tailored to entertain !
1;this is the best american movie about troubled teens since 1998 's whatever .
1;it almost plays like solaris , but with guns and jokes .
1;the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .
1;it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .
1;the movie has lots of dancing and fabulous music .
0;intended to be a comedy about relationships , this wretched work falls flat in just about every conceivable area .
0;there 's not enough to sustain the comedy .
1;a distant , even sterile , yet compulsively watchable look at the sordid life of hogan 's heroes star bob crane .
1;the movie 's quiet affirmation of neighborhood values gives it an honest , lived-in glow .
1;gloriously goofy -lrb- and gory -rrb- midnight movie stuff .
1;the film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .
1;there 's enough science to make it count as educational , and enough beauty to make it unforgettable .
0;soul is what 's lacking in every character in this movie and , subsequently , the movie itself .
1;i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .
0;could the country bears really be as bad as its trailers ?
1;it never fails to engage us .
1;jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .
1;but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography .
0;the film seems a dead weight .
0;it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time .
0;mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness
1;windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .
0;stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .
1;if you love motown music , you 'll love this documentary .
1;gollum 's ` performance ' is incredible !
1;the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon .
0;a strong first quarter , slightly less so second quarter , and average second half .
0;flaccid drama and exasperatingly slow journey .
1;if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the -lrb- unfortunately r-rated -rrb- paid .
0;the story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .
1;a perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy .
0;this series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last james bond movie .
1;this is carion 's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach .
0;the stories here suffer from the chosen format .
1;disturbing and brilliant documentary .
1;this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .
1;more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent .
0;sushi for the connoisseurs of the macabre .
0;the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .
0;nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .
1;a movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship lil ' bow wow .
1;fans of behan 's work and of irish movies in general will be rewarded by borstal boy .
0;the furious coherence that -lrb- deniro -rrb- brings to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the end , less like a movie than like the filmed reading of a script in need of polishing .
0;never quite transcends jokester status ... and the punchline does n't live up to barry 's dead-eyed , perfectly chilled delivery .
1;the stunning , dreamlike visuals will impress even those viewers who have little patience for euro-film pretension .
1;farrell ... thankfully manages to outshine the role and successfully plays the foil to willis 's world-weary colonel .
1;there are slow and repetitive parts , but it has just enough spice to keep it interesting .
0;as an actor , the rock is aptly named .
1;it 's the kind of pigeonhole-resisting romp that hollywood too rarely provides .
0;extremely boring .
0;like mike does n't win any points for originality .
1;a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time .
0;some , like ballistic , arrive stillborn ... looking like the beaten , well-worn video box cover of seven years into the future .
1;what 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an ikea world .
0;like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .
1;and if the hours wins ` best picture ' i just might .
0;madonna still ca n't act a lick .
0;a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek .
1;a beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .
1;take care of my cat offers a refreshingly different slice of asian cinema .
1;look , this is a terrific flick replete with dazzling camera-work , dancing and music .
0;it 's never a good sign when a film 's star spends the entirety of the film in a coma .
0;the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .
1;at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .
1;thoughtful , provocative and entertaining .
1;in adobo , ethnicity is not just the spice , but at the heart of more universal concerns .
1;to the film 's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment .
0;anyone who can count to five -lrb- the film 's target market ? -rrb-
0;for me , this opera is n't a favorite , so it 's a long time before the fat lady sings .
0;it feels like a community theater production of a great broadway play : even at its best , it will never hold a candle to the original .
0;the whole damn thing is ripe for the jerry springer crowd .
1;dark and disturbing , but also surprisingly funny .
0;first good , then bothersome .
1;this is one for the ages .
0;big fat liar is just futile silliness looking to tap into the kiddie sensibilities .
1;smith profiles five extraordinary american homes , and because the owners seem fully aware of the uses and abuses of fame , it 's a pleasure to enjoy their eccentricities .
1;behind the snow games and lovable siberian huskies -lrb- plus one sheep dog -rrb- , the picture hosts a parka-wrapped dose of heart .
1;still pretentious and filled with subtext , but entertaining enough at ` face value ' to recommend to anyone looking for something different .
0;the thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .
1;so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality .
1;it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs .
1;it will delight newcomers to the story and those who know it from bygone days .
0;every bit as bogus as most disney live action family movies are -- no real plot , no real conflict , no real point .
0;despite the premise of a good story ... it wastes all its star power on cliched or meaningless roles .
0;credibility levels are low and character development a non-starter .
1;renner 's performance as dahmer is unforgettable , deeply absorbing .
1;the use of cgi and digital ink-and-paint make the thing look really slick .
1;if nothing else , this movie introduces a promising , unusual kind of psychological horror .
0;the film is really not so much bad as bland .
1;there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises .
0;began life as a computer game , then morphed into a movie -- a bad one , of course .
1;though a bit of a patchwork in script and production , a glossy , rich green , environment almost makes the picture work .
1;the spark of special anime magic here is unmistakable and hard to resist .
1;it 's hard not to be seduced by -lrb- witherspoon 's -rrb- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .
1;... in this incarnation its fizz is infectious .
0;the enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized .
0;a turgid little history lesson , humourless and dull .
1;a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .
0;proves that a movie about goodness is not the same thing as a good movie .
1;tender yet lacerating and darkly funny fable .
1;having never been a huge fan of dickens ' 800-page novel , it surprised me how much pleasure i had watching mcgrath 's version .
0;another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black bmw through .
0;if you 're not a prepubescent girl , you 'll be laughing at britney spears ' movie-starring debut whenever it does n't have you impatiently squinting at your watch .
1;full frontal is the antidote for soderbergh fans who think he 's gone too commercial since his two oscar nominated films in 2000
0;its save-the-planet message clashes with its crass marketing .
1;this is simply the most fun you 'll ever have with a documentary !
1;for the most part , i spy was an amusing lark that will probably rank as one of murphy 's better performances in one of his lesser-praised movies .
0;the humor is hinged on the belief that knees in the crotch , elbows in the face and spit in the eye are inherently funny .
0;while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .
0;this limp gender-bender-baller from a first-time director and rookie screenwriter steals wholesale from that 1982 's tootsie , forgetting only to retain a single laugh .
1;there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .
1;his characters are engaging , intimate and the dialogue is realistic and greatly moving .
0;her film is unrelentingly claustrophobic and unpleasant .
0;feels like six different movies fighting each other for attention .
0;but here 's the real damn : it is n't funny , either .
1;resourceful and ingenious entertainment .
1;if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right .
1;the episodic film makes valid points about the depersonalization of modern life .
0;while the film misfires at every level , the biggest downside is the paucity of laughter in what 's supposed to be a comedy .
0;i regret to report that these ops are just not extreme enough .
0;this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through .
0;and forget about any attempt at a plot !
1;do n't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life .
1;a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats .
0;calling this movie brainless would be paying it a compliment : it 's more like entertainment for trolls .
0;obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold !
0;as elegantly crafted as it often is , anderson 's movie is essentially a one-trick pony that , hampered by an undeveloped script , ultimately pulls up lame .
1;an involving true story of a chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .
0;a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .
1;-lrb- drumline -rrb- is entertaining for what it does , and admirable for what it does n't do .
0;the ending is a cop-out .
1;an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .
0;so lazy and slipshod it confuses the mere flashing of kinky soft-core imagery with naughty fun .
0;say this for the soundtrack , it drowns out the lousy dialogue .
1;a tender and touching drama , based on the true story of a troubled african-american 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .
1;this version incarnates the prophetic book in a way even its exacting author might admire .
1;impresses you with its open-endedness and surprises .
0;maybe it 's the star power of the cast or the redundant messages , but something aboul `` full frontal '' seems , well , contrived .
1;a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino .
0;the problem with concept films is that if the concept is a poor one , there 's no saving the movie .
1;not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .
0;an afterschool special without the courage of its convictions .
0;i hated every minute of it .
1;benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end .
0;feels less like it 's about teenagers , than it was written by teenagers .
0;flat , but with a revelatory performance by michelle williams .
1;finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original .
0;any film featuring young children threatened by a terrorist bomb can no longer pass as mere entertainment .
1;a sad , superior human comedy played out on the back roads of life .
1;smart science fiction for grown-ups , with only a few false steps along the way .
1;evokes a little of the fear that parents have for the possible futures of their children -- and the sometimes bad choices mothers and fathers make in the interests of doing them good .
0;... -lrb- like -rrb- channel surfing between the discovery channel and a late-night made-for-cable action movie .
1;bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores .
0;the performances are so leaden , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud .
1;director rob marshall went out gunning to make a great one .
1;the acting alone is worth the price of admission .
1;s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .
1;a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with ... it does possess a loose , lackadaisical charm .
0;denzel washington 's efforts are sunk by all the sanctimony .
1;the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .
0;the movie bounces all over the map .
0;the lack of opposing viewpoints soon grows tiresome -- the film feels more like a series of toasts at a testimonial dinner than a documentary .
0;"given that both movies expect us to root for convicted violent felons over those assigned to protect us from same , we need every bit of sympathy the cons can muster ; this time , there is n't much ."
1;... breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters . '
0;extreme oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .
0;the charms of willful eccentricity , at least as evidenced by this latest cinematic essay , are beginning to wear a bit thin .
0;the screenplay sabotages the movie 's strengths at almost every juncture .
1;without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions .
1;it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .
1;hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .
0;it smacks of purely commercial motivation , with no great love for the original .
0;a minor picture with a major identity crisis -- it 's sort of true and it 's sort of bogus and it 's ho-hum all the way through .
1;a pleasant enough comedy that should have found a summer place .
0;its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer .
1;the powers team has fashioned a comedy with more laughs than many , no question .
0;a bit of an unwieldy mess .
1;despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''
0;an overblown clunker full of bad jokes , howling cliches and by-the-numbers action sequences .
0;but he loses his focus when he concentrates on any single person .
1;hayek is stunning as frida and ... a star-making project .
1;a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .
0;after seeing swept away , i feel sorry for madonna .
0;it 's laughing at us .
1;i admired it , particularly that unexpected downer of an ending .
1;the film hinges on its performances , and both leads are up to the task .
1;zany , exuberantly irreverent animated space adventure .
1;an unabashedly schmaltzy and thoroughly enjoyable true story .
1;it 's like a poem .
1;it 's all very cute , though not terribly funny if you 're more than six years old .
1;whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .
