review;sentiment
Fidois a very odd film. And in many ways, a very good one.<br /><br />My first thought after viewing, was how the hell are they going to market this thing? If Shaun of the Dead is a romantic comedy with zombies, Fido is a boy and his dog story blended with fifties nostalgia comedy with zombies. Doesn't exactly trip off the tongue.<br /><br />Fido has little of Shaun's carnage, gore & belly laughs. It is a different beast altogether (forgive the pun).<br /><br />Fido kicks off with a black & white information film that explains the back story - humans have won a war against zombies by developing a control collar that subdues the flesh-eaters into dumb servants.<br /><br />At first I thought we we were in for a fifties cold war paranoia parody a la Matinée, but we are soon hurled into a world of bright primary colours and fifties middle-class nostalgia.<br /><br />Young Timmy Robinon is a lonely kid who doesn't fit in at school. His mom is would-be social climber,and his dad is nervy and detached.<br /><br />Seeking to keep up with the Joneses, mom (Carry-Anne Moss) has acquired a zombie. Jimmy is disinterested at first, but 'Fido' (Billy Conelley) soon proves a great buddy for Jimmy. Until his collar goes on the blink...<br /><br />Fido is NOT a horror film, but my problem with the movie is figuring out exactly what it IS.<br /><br />Much of the humour is of the light family variety, and sometimes the plot line is too heavily reliant on the boy and his dog/family moments.<br /><br />Yet the film is shot through with wonderfully dark, truly funny moments, which while welcome, will ensure an R rating for what is, for extended periods, a family comedy.<br /><br />The film looks gorgeous, and is wonderfully performed by all involved.<br /><br />Despite its difficult tonal problems, I hope this movie finds a niche, as it's quite a little gem in this year's deluge of cinematic crap.;positive
I love this movie. I watched it over and over when i rented it from Netflix.It had a lot of substance and meaning for me. I think many people will enjoy it.I have read and seen quite a few lesbian stories over the years and am happy to say they are getting better and better in how they are presented.They tend to have a more positive feel for the life style and feeling's of gay women.Its nice to see two women find themselves and be as happy as others in this society.I think it is apparent that more and more movies with this theme will grace our theaters and TV screens.Many producers and directors are realizing that Lesbians live very full and wholesome lives and that we have wonderful stories that should and can be seen by individuals as well as families without hesitation.;positive
"The Twins Effect - Chinese Action/Comedy - (Charlene Choi, Gillian Chung)<br /><br />This vampire action comedy is one of my favorites for the very fact that I was thoroughly entertained throughout the entire movie. First of all, the characters are memorable, contributing a myriad of classic scenes. Charlene and Gillian are naturally cute, charismatic, and humorous. This movie was my first exposure to them, and all I wanted to do was reach through my television screen and give them a REALLY BIG HUG. The remaining cast did well in their supporting roles, including Jackie Chan, Karen Mok, ""The Duke"", Josie Ho, Edison Chen, Anthony Wong, and the vampire bad guys (one of which looks eerily familiar to Will Ferrell). Even the abominably horrible Ekin Cheng was good in this one. Good characters are important, of course, because they avoid the feeling of boredom by keeping things interesting between action sequences.<br /><br />And speaking of action, this film has plenty of it. More importantly, there is an emphasis of quality in the fight choreography. One aspect that helped in this regard is the featured weapon of the protagonists  a sword with a retractable spear-ended rope. This weapon, in and of itself, opened up a variety of moves that would have been otherwise impossible. Josie Ho and Gillian Chung, in particular, perform some wicked aerial maneuvers using these devices. <br /><br />In addition, the swordplay is superb, and is highlighted by two great sword fights  one taking place during the opening train station sequence and the other occurring in the church finale. In fact, the blade-wielding maneuvers showcased in this film put some other highly overrated fan favorites to great shame, and I truly feel sorry for those who would cite the horribly choreographed garbage seen in Ashes of Time, Storm Riders, or A Man Called Hero with the well-planned, precisely executed sequences seen in The Twins Effect. It's not even close. <br /><br />I can't understand why this film gets so much criticism. I'm sure die-hard apologists for the Hong Kong ""Golden Age"" will hate this because it doesn't fit into their narrow-minded view of what Hong Kong action should be. We should learn from the downfall of John Woo - a one trick pony who never learned how to re-invent himself. We don't need another clone. We need something different. The Twins Effect is one good example.<br /><br />This film was so good that it actually set me up for being disappointed at other Chinese movies with the same actors and actresses. This especially applies to Ekin Cheng, whose other films almost always suck  and yes, this includes the obscenely overrated and exploitative wuxia crap mentioned in the previous paragraph. Even The Twins have never been able to match the value of this movie when both were lead actresses in a film, although they have managed to hit some good films when either one or the other takes the leading role (e.g., Beyond Our Ken, Good Times Bed Times, House of Fury) or when one or both are in supporting roles (e.g., Colour of the Truth, New Police Story, Just One Look). The Twins Effect 2 should have been a direct sequel, instead of a family fantasy. I am still yearning to see Charlene and Gillian team up and kick some butt in another movie, but the fact remains that The Twins Effect hits on all cylinders, optimizing their charisma while avoiding a descent into annoyance (as in Protégé de la Rose Noire).<br /><br />All in all, this film has everything one needs to be entertained. And may I remind the reader that it is precisely this  ENTERTAINMENT  that judges the greatness of a movie, more so than artsy dramatic elements or meaningless awards from established academies of critics who usually have no idea what they are talking about.<br /><br />In the end, the Twins Effect is a CLASSIC not to be missed.<br /><br />Rating = 5/5 stars <br /><br />P.S.  The Hollywood execs decided to slaughter this film when it was released in the U.S. by renaming it The Vampire Effect and cutting out 20 minutes of footage, which includes parts of the action scenes. However, the final fight of the U.S. version does have a better soundtrack than the original version. Therefore, I purchased both versions, which allows me to first watch the original until about the 1:20 mark, and then swap discs to watch the final fight on the U.S. version.";positive
I am a film directors nightmare... especially of the mega buck, multiplex variety. While not a student of the art I still have a high threshold for disbelief suspension and buying into the film maker's vision, if I can find it. That's why a gem such as 'You Are Alone' is such an exhilarating find. The intimacy and pacing drew me in and never let me go. Jessica Bohl and Richard Brundage give thoughtful nuanced performances and director Gorman Bechard displays a deft hand in presenting what is an understandably disturbing day in the lives of two terribly damaged people.<br /><br />Spoiler below<br /><br />I bought the DVD version and have shared it with several people. The reactions have been varied, from disbelief in the ability of Daphne to complete the assignment for which Buddy has paid her to an inability to watch the whole film because it was just too real and emotionally devastating. As a compulsively skeptical moviegoer I have to be either grabbed by the collars and hauled for the ride or sidled up to and seduced by the filmmaker. This film took the later route for me and by the end I was so involved that I felt Daphne's horror and pain at her role in Buddy's demise. My reaction to this film reminded me of watching 'The Cook, the Thief, His Wife and Her Lover' by Peter Greenaway many, many years ago. By the end I was fascinated and repelled and utterly unable to tear my eyes away from that film too. I've watched this film several times now and truly appreciate the eye and ear the director has demonstrated. I am familiar with other works he has been done including a couple of cheeky movies, 'Galactic Gigolo' and 'Attack of the Killer Bimbos' and a mixed bag 'The Kiss' which I recently learned was killed in the cradle by the producer and doesn't really represent the directors vision. Too bad, because I loved the prior two films and even found 'The Kiss' interesting but wish 'The Kiss' was available in a director's cut with all of the original vision and music in tact. I look forward to future work by this interesting director and the leads Jessica Bohl and Richard Brundage.;positive
Being a huge die-hard Monkey Island fan, I fugured this one would be terrible since Ron Gilbert didn't make it. Boy was I surprised! Although it's still not as good as the first two, it has the comedy that I wanted. I was a little nervous about the new graphics, new SCUMM engine, and just the fact that it was on a CD. But it all came together, and it was interesting to finally hear the voices of your favorite characters. I especially enjoyed that SWORD FIGHTING had returned. And the whole story about finding the big uncursed ring was just incredible. Go ahead and try out this two-CD adventure. And now we can rejoice, because Monkey Island 4:Escape from Monkey Island is coming out REALLY REALLY soon! This fall!;positive
"This flick, which is a.k.a. ""Life In the Fast Lane"" is easily one of the least entertaining movies I've seen in a long time. I think it was made in mind of the sick, twisted and jaded L.A. women who represent about .00000001 of the population in the States. The characters are all one-dimensional, even the lead. After she stabs her boyfriend in the head with some scissors, a cheap laugh is attempted (and unsucceeds) by sticking a cork in the boyfriend's skull to stop the bleeding. Oh, clever! Patrick Dempsey (whose movies are almost always a class act --sarcasm) plays this ""devil"" who changes her life - but from what we've seen, her life was this series of vignettes to begin with. No emotion, no laughs, no story. The only reason I give this a 2 is that Jeffrey Jones is ok as the priest and there is a bit of style (albiet zero substance) in the camerawork. Otherwise, one of the 5 worst films I've seen. Grade 2 out of 10 AN F! I think that even the most drugged out junkie who would laugh at a toilet seat falling would dislike this film. I can't stress enough how much you should stay away.<br /><br />";negative
Look at the all the positive user comments of this movie, then check to see how often each one posts user comments. They post once. It seems companies are probably paying for services which post junk pro-movie comments on IMDb.<br /><br />This movie was awful. The plot was stupid. The acting was poor. The jokes weren't even funny. The movie included minor nudity from what looked like porn actresses but none of the other characters.<br /><br />It was clear from the first 15 minutes that movie wasn't funny. There was some slapstick here and there but most of humor was supposed to be derived from the characters talking behind each other's back and spreading rumors. This isn't even done well. Every joke is obvious and you see it coming.<br /><br />The movie is worthy of fast forwarding or better yet not watching.<br /><br />I regret watching this movie and if I could charge the studio and distributor for 1.5 hrs they stole from me I would.;negative
"The folks at Disney have a lot to explain. First and foremost, why anyone thought this lesser-sitcom material would ever make even a half-decent motion picture. In the kooky 60's teleplay, the unique idea of Martians among us had not yet been given the sophisticated X-Files treatment. Quaint visions of little green men have long since been dispelled by the likes of E.T., CLOSE ENCOUNTERS and ALIENS 1-3.<br /><br />Any charm the property had was mainly due to the endearing relationship created between the late Bill Bixby as Tim and Ray Walston as the unworldly visitor. The conceit that Martians have antenna seemed dopey back then. Now it seems positively idiotic. Yet, Christopher Lloyd's Uncle Martin sports the metallic appendages. In an early shot, the antenna on a sign for the TV station Tim works at is supposed to make us think ""martian""! When's the last time you saw a TV with rabbit ears, eh?<br /><br />Disney doesn't trust quaint or relationships and crams this flick with youth-wooing special effects that include a talking space suit named Zoot! Yes, you read that correctly - Uncle Martin's silver space suit speaks. He is supposed to be a real hilarious cut-up! Figure again. I got stretch socks that are funnier than Zoot. Whenever the action lags (and it lags constantly), computer graphics are put into play to liven things up. Tim is here played by the amiable Jeff Daniels, who can't (or won't) do anything to save this floudering mess. Zesty Christine Ebersole brings some comic zeal to her neighbor lady role. Even Ray Walston himself is dragged painfully into the procedings - all to no avail. This alien visitor is dead on arrival.<br /><br />Constant talk of sitcoms turning to screen makes me only hope that the I DREAM OF JEANNIE movie won't feature a talking harem outfit. I pray that Samantha's cat in the movie BEWITCHED doesn't have lines. I live in fear that I LOVE LUCY - THE MOVIE will proudly feature a CG Conga Drum named Bongo.<br /><br />Paging Michael Eisner! Mickey Mouse - take me to your leader.";negative
"Let me begin by saying that I adore the book and loved the A&E miniseries. I was hoping to love this film, and I was absolutely willing to allow it a moderate degree of artistic license in interpreting and abbreviating the actual story. However, this film scarcely resembles the original book. If only ""the names had been changed to protect the innocent,"" I would have possibly enjoyed the movie as simply an entertaining, if inaccurate, period piece.<br /><br />Unfortunately, putting the name ""Mr. Darcy"" on a character who is emotional and weak, giving the name ""Elizabeth Bennett"" to a reckless, snippy, often teary-eyed hoyden who cares nothing for the rules of society, and making ""Mr. Bingley"" a wide-eyed dimwit absolutely destroyed the idea that the director had ever read Jane Austen's original story. <br /><br />There are some really stellar moments in this movie -- perhaps a total of 10 minutes are truly excellent. Charlotte's explanation of why she accepted Mr. Collins' proposal begins beautifully. She is 27 years old (quite near the hopeless-spinster age in those times), she is becoming a burden on her family, and she is not romantic. She only wants ""a comfortable home."" However, the beautiful dialogue is ruined when she blubbers, ""Don't you judge me, Elizabeth. Don't you dare judge me!"" and runs off in tears. Later, you see Charlotte kowtow to Lady Catherine de Bourgh, which was not at all in her character as described in the book. <br /><br />Another good moment is when Darcy catches Elizabeth in his home while she is touring the area with her aunt and uncle. It was well done in the A&E series, but the film version with Keira Knightley made the audience feel acutely how very humiliating that moment must have been for Elizabeth. Very nice.<br /><br />The ending also illustrated a level of affection between Elizabeth and Darcy that was not shown as obviously in the miniseries. I actually appreciated that scene, simply because I like to see a happy ending, rather than just know that it took place. <br /><br />Altogether, though, this movie eliminated the subtlety that was such an integral part of Austen's Pride and Prejudice. The characters speak in a jarring combination of Austen's dialogue verbatim and modern phrases and colloquialisms. Information that was only alluded to or suggested in the original work is blatantly stated in this version. Yes, time was a concern. It's only a short movie, yada yada. But turning a complex, beautiful book into a superficial love story is ridiculous. <br /><br />Some have commented that they loved the moment when Darcy first sees Elizabeth, because it is so obviously a case of ""love at first sight."" Love at first sight? Huh? One of the best aspects of the book is that Elizabeth is not supposed to be a traditional beauty, and Darcy comes to love her for her wit and liveliness ... he literally ""loves her for her mind."" <br /><br />This version also had a moment (during Darcy's first proposal) when the two are yelling furiously at each other, while leaning closer ... and closer ... and almost kissing ... but they suddenly step apart. Ugh! What a sad cliché. They're angry and disgusted with each other, but so attracted that it doesn't matter that (at the time) they don't even like each other? Ridiculous! <br /><br />The characterizations were all so far removed from those described in the book that it really was like a different story. Mr. Bennet was dour, Elizabeth usually acted just as silly as her younger sisters, Charlotte was emotional, somewhat unintelligent and desperate for a home of her own -- unlike the intelligent, slightly scheming woman with an abundance of common sense who is portrayed in the novel. Jane and Elizabeth's relationship is merely topical, instead of the deep-rooted love and admiration they are supposed to have for each other. <br /><br />All this I could have accepted as merely poor interpretations of the novel, but I refused to accept all that in addition to the many, many historical inaccuracies. Miss Bingley walked around scarcely clothed (her dress looked like what the others would wear as tight undergarments). Elizabeth walked to Netherfield with her hair down and allowed to fly all over. The family lazed about one morning, though mornings were supposed to be reserved for calling on acquaintances (or being called on at your own home). Elizabeth walked outside barefoot in her nightgown. And in a really appalling scene, Bingley walked into Jane's bedroom and conversed with her (and sounded like an idiot) when she was ill. <br /><br />Most people would feel these are minor points, but I simply wanted either A.) an historically accurate film, or B.)an accurate representation of the characters in the novel. <br /><br />The director/writer/whoever sacrificed accuracy, subtlety and a good story for a trite tale of love at first sight. I can concede that those who have not read the book or who are not familiar with the social conventions of the time could very easily like this movie, and there is nothing wrong with that. I simply couldn't overcome my desire to see a film that involved more than just two pretty faces.";negative
This is a film I saw when it first came out, and which I have seen a few more times over the years. It's always enjoyable.<br /><br />One thing is that the comedy does not take sides: it skewers labor and capitalists equally. Only Sid seems outside the classic struggle, even though he's responsible for it. <br /><br />Spoiler warning: do not read further if you haven't seen the film <br /><br />This is a fantasy, though presented fairly plausibly. Ask yourself: could someone support most of his or her weight in a single strand of fabric? It would cut through almost any support.<br /><br />Also, when cornered in an alley, Sid uses a garbage can cover like a knight's shield. Cute symbolism.<br /><br />Someday, I'll get this on DVD.;positive
I just got this movie for Christmas and have already added it to my favorites list. A cute and simple story which makes a beautiful movie. Who could not love Uncle Felix or not have their mouth water at the sound of all that food. Definite points go to Sydney Greenstreet for his performance of Alexander Yardley and also to Reginald Gardiner who played John Sloane, the impossibly boring fiancee. Truly a gem to be watched every Christmas.;positive
I absolutely, positively loved the movie. I just saw it and can't wait for it to come out on DVD. It is a beautifully, well-drawn masterpiece. I am always amazed with the intricately drawn work of Ghibli studios. <br /><br />Others have commented on Sosuke calling Risa by her first name. He never calls his Father by his first name unless he is speaking about him to someone else. I didn't get the impression that Risa was his mother. It was never even mentioned or implied by anyone. It is quite obvious that she is his step-mother. That is why he makes her promise to come home and why he gets so upset when he finds her empty car. His mother must have died when he was an infant because he mentions being nursed by Risa. This coupled with his father being out to sea a lot is why he has abandonment issues. Everyone also talks about how mature he is. This usually occurs when a child loses a parent.;positive
Critters 4 starts, & I quote 'Somewhere in Kansas 1992' & a replay of the last few minutes of Critters 3 (1991) as the recurring character of Charlie McFadden (Don Keith Opper) is about to shoot the last two remaining Critter eggs in the universe which, we are informed, would mean the extinction of the entire Critter race which is against some sort of intergalactic zoological law or something like that. Charlie's bounty hunter friend Ug (Terrence Mann) is now known as Counsellor Tetra & is a top ranking official at the intergalactic council & orders Charlie not to shoot the eggs but instead put them into a pod that will land nearby very soon, the pod does indeed land nearby very quickly & Charlie does indeed put the eggs into it but he is also caught in the pod which I presume cryogenic-ally freezes him as it's never really explained. Critters 4 then informs us that we are 'Somewhere in Saturn Quadrant 2045' where a salvage ship comes across the pod drifting in space (the credits have barely finished & Critters 4 is already stealing entire ideas & scenes from Aliens (1986)). Rick (Anders Hove) decides to claim the unidentified, to them anyway, pod & try & make a bit of cash out of it. With the help of his crew, Ethan (Paul Whitthorne), Fran (Angela Bassett), Al Bert (Brad Dourif) & Bernie (Eric DeRe) the pod is successfully recovered. They get in touch with the intergalactic council & Counsellor Tetra say to go to an abandoned space-station where a trade will be made for the pod & it's contents, Tetra also specifically tells Rick not to open the pod. So in true horror film tradition Rick opens the pod, thaws Charlie out & the Critter eggs which hatch, kill Rick & escape into the space-station...<br /><br />Co-produced & directed by Rupert Harvey I thought Critters 4 was a pretty useless film & rounds the Critter series of films off with a whimper rather than a bang. The script by Joseph Lyle & David J. Schow is both predictable & clichéd, the space-station with an unstable reactor that will blow up in a few hours, the protagonists only means of escape being neutralised early on so they are stuck, the race against time to save themselves, the constant bickering & arguing amongst the crew, people splitting up & the loser who turns into a hero & saves the day, yawn. A lot of plot devices seem to come straight from Aliens & it rips off Star Wars (1979) with a tacky waste compactor scene. The characters are no better & you probably won't give a damn about any of them. While the other Critter films could be described as comedy horrors part 4 cannot, it appears to be deadly serious throughout. Critters 4 is also incredibly slow, uneventful & dull. It's over 30 minutes before the Critter eggs hatch & after this brief sequence it's nearly the hour mark before their seen again, why make a Critter film & barely feature them? It can't be because of the expensive special effects as they look like glove puppets anyway, oh & how can a mere hours old Critter operate an entire space-station & set a course for Earth? How do they even know what Earth is? Why did Capatin Rick want to open the pod anyway? What is all that stuff about with the female scientist & a rubber alien thing that is mentioned only once? Why do the intergalactic council want the Critters so badly? Why only send four men? Why is this perfectly good looking space-station totally deserted again? Critters 4 looks cheap throughout with bland, dark unimaginative sets & it even steals footage from Android (1983) for it's ships & space scenes, Critters 4 was apparently so low budget that the filmmakers couldn't afford any optical effects & the ones it takes from Android look seriously dated. For the most part only two Critters are used although some-more start to hatch but it's pretty late in the day when this happens, for most of the film they are barely seen & the effects for them are the worst of the entire series. Forget about any blood or gore as the Critters only kill two people during the 90 plus minute running time which just wasn't enough to maintain my waining interest. The acting is pretty poor as well with Angela Bassett's over-the-top melodramatic reaction to seeing a few Critter eggs particularly cringe worthy. To look at Critters 4 it is as cheap & unspectacular a production as you could hope to (not) see. The ending of Critters 4 has the universe finally being saved form the Critter menace, lets hope it also saves us & our local video-stores from the menace of a part 5...;negative
